불면증 디지털치료기기(DTx) 임상 — 데이터 품질 점검용 합성 데이터셋,,,,
,,,,
연구 설계,"무작위배정·대조 임상 / Active(DTx) vs Sham(대조), 12주(약 3개월) 중재",,,
대상자 수,150명 (P001~P150),,,
데이터 도메인,환자정보 / 뇌파(PSG) / 호흡디텍팅 / 수면일기 / 앱사용로그,,,
수집 주기 — 뇌파,"4주마다 (V1 등록일, V2 +4주, V3 +8주, V4 +12주)",,,
수집 주기 — 호흡디텍팅,매일 밤,,,
수집 주기 — 수면일기,매일 밤 (환자 주관 입력),,,
수집 주기 — 앱로그,사용일 단위,,,
,,,,
⚠ 중요,본 데이터셋에는 오기입·오류·이탈이 의도적으로 삽입되어 있습니다.,,,
,삽입된 모든 오류는 [99_오류정답지] 시트에 위치·유형·탐지규칙과 함께 정리되어 있습니다.,,,
,탐지 규칙(EC-XX)의 정의는 별도 SOP 문서(데이터 관리 SOP)의 Edit Check 명세를 참조하세요.,,,
,,,,
시트 구성,01_환자정보 · 02_뇌파측정 · 03_호흡디텍팅 · 04_수면일기 · 05_앱사용로그 · 99_오류정답지,,,